197,193,3 generation,2007,2012,1
198,193,2 generation,1997,2005,1
201,196,5 generation,2004,2008,1
202,196,4 generation,1997,2004,1
203,196,3 generation,1988,1996,1
204,198,8 generation,1995,1999,1
212,220,3 generation,2013,2019,1
213,220,2 generation,2007,2014,1
214,220,1 generation,2002,2007,1
215,221,11 generation,1999,2006,1
216,221,10 generation,1994,1999,1
223,224,3 generation,2007,2014,1
224,224,4 generation,2014,2019,1
225,224,1 generation,1998,2001,1
228,227,5 generation,1997,2004,1
229,227,4 generation,1991,1997,1
234,229,2 generation [restyling],2012,2017,1
235,229,2 generation,2010,2013,1
240,4,1 generation,1990,2001,1
245,76,44/44Q,1983,1991,1
247,79,89/B3,1987,1991,1
251,87,4G/C7,2010,2014,1
252,87,4F/C6,2004,2008,1
254,87,4B/C5,1997,2001,1
255,87,4B/C5 [restyling],2001,2004,1
256,91,89/8B,1988,1996,1
258,94,8R [restyling],2012,2017,1
259,94,8R,2008,2012,1
261,108,B8/8K,2009,2011,1
262,108,B8/8K [restyling],2011,2015,1
263,108,B7/8E,2005,2008,1
264,108,B6/8H,2003,2004,1
265,108,4A/C4,1991,1994,1
267,129,2 generation,2006,2011,1
268,129,1 generation,1995,2003,1
269,136,2 generation,2010,2016,1
270,136,1 generation,1984,1992,1
277,2254,T21 [restyling],2015,2019,1
278,256,T11,2005,2014,1
280,261,2 generation,2007,2013,1
281,261,1 generation,2001,2006,1
282,262,T300,2011,2019,1
283,262,T250 [restyling],2006,2012,1
284,262,T200,2003,2008,1
285,264,2 generation,NULL,NULL,1
286,264,1 generation,NULL,NULL,1
289,267,5 generation [restyling],2013,2015,1
290,267,5 generation,2008,2014,1
291,267,4 generation,1992,1997,1
292,267,3 generation,1982,,1
293,268,6 generation,2006,2019,1
294,268,5 generation,1999,2003,1
295,268,4 generation,1990,1996,1
296,268,3 generation,1976,1979,1
297,269,1 generation [2th restyling],2013,2015,1
298,269,1 generation [restyling],2011,2013,1
299,269,1 generation,2006,2011,1
300,270,3 generation,1994,1999,1
301,270,2 generation,1987,1990,1
302,270,1 generation [restyling],1983,1987,1
303,276,2 generation,2011,2019,1
304,276,1 generation [restyling],2008,2010,1
307,280,C7,2013,2019,1
308,280,C6,2004,2008,1
310,280,C5,1997,2004,1
311,282,J300 [restyling],2012,2015,1
312,282,J300,2009,2012,1
313,284,2 generation,2010,2015,1
314,284,1 generation,2004,2009,1
316,286,1 generation,1996,2002,1
317,288,9 generation,2006,2013,1
318,288,8 generation,1999,2006,1
319,288,7 generation,1994,1996,1
322,295,2 generation [restyling],2000,2003,1
323,295,2 generation,1997,1999,1
324,295,1 generation [2th restyling],1980,NULL,1
325,295,3 generation,2004,2006,1
326,295,5 generation,2011,2013,1
327,295,4 generation,2008,2012,1
329,297,6 generation,1999,2005,1
330,297,5 generation,1995,1999,1
331,300,1 generation [restyling],2009,2019,1
332,300,1 generation,2002,2009,1
334,302,B,1998,2001,1
335,302,A,1992,1998,1
338,309,M300,2010,2015,1
340,312,7 generation [restyling],1971,1972,1
341,312,GMT900,2007,2014,1
342,312,GMT800,2000,2005,1
343,312,GMT400,1991,1999,1
344,312,8 generation,1973,1980,1
345,313,4 generation,2013,2019,1
346,313,GMT900,2006,2014,1
347,313,GMT800,1999,2007,1
348,313,GMT400,1995,1999,1
349,315,2 generation,1998,2004,1
350,315,1 generation,NULL,NULL,1
351,316,2 generation,2012,2019,1
352,316,1 generation,2001,2009,1
355,319,1 generation,2005,2011,1
356,323,2 generation,1998,2004,1
357,323,1 generation,1993,1997,1
359,326,2 generation,1990,1993,1
360,326,1 generation,1982,1989,1
361,328,2 generation,1998,2004,1
362,328,1 generation,1992,1998,1
364,330,2 generation,1999,2001,1
365,330,1 generation,1994,1997,1
366,332,2 generation,1999,2005,1
367,332,1 generation,1994,1999,1
368,333,11 generation,1994,1996,1
369,333,10 generation,1988,1993,1
371,338,3 generation,2007,2010,1
372,338,2 generation,2001,2006,1
373,338,1 generation,1995,2000,1
375,341,5 generation,2007,2010,1
376,341,4 generation,2000,2007,1
377,341,3 generation,1995,2000,1
378,341,2 generation,1990,1995,1
382,344,5 generation,2007,2011,1
389,348,2 generation [2th restyling],2015,2019,1
392,354,2 generation [restyling],2012,2016,1
393,354,2 generation,2009,2013,1
394,354,1 generation,2002,2010,1
395,355,1 generation [restyling],2012,2016,1
396,355,1 generation,2008,2013,1
397,358,2 generation [restyling],2016,2019,1
398,358,2 generation,2010,2017,1
399,359,2 generation,2013,2017,1
400,359,1 generation,2006,2013,1
402,360,2 generation,2008,2017,1
404,362,2 generation,2002,2012,1
405,363,2 generation,1983,1995,1
410,373,X2,1998,2001,1
411,373,X1,1993,1998,1
412,374,Y4,1994,2000,1
413,374,Y3,1989,1994,1
418,384,1 generation [restyling],2013,NULL,1
419,384,1 generation,2010,2013,1
420,386,1 generation [restyling],2007,2012,1
421,386,1 generation,2004,2008,1
422,388,2 generation [restyling],2017,2019,1
423,388,1 generation,2008,2012,1
424,395,1 generation [restyling],2005,2019,1
425,395,1 generation,1991,2005,1
426,399,2 generation,2013,2016,1
427,399,1 generation,2005,2010,1
432,407,M150 [restyling],2000,2016,1
433,407,M100,1998,2001,1
435,409,1 generation [2th restyling],2008,2016,1
436,410,J200,2002,2008,1
437,410,J150/J190 [restyling],1999,2004,1
438,410,J100,1997,1999,1
443,420,2 generation,2001,2006,1
445,421,1 generation [2th restyling],1997,2000,1
446,421,1 generation [restyling],1992,1997,1
447,426,4 generation,1993,1996,1
452,429,1 generation,2002,2012,1
454,430,L250,2003,2007,1
455,430,L700,1998,2003,1
464,439,L55,1980,1985,1
465,439,L275,2006,2019,1
466,439,L700,1998,2002,1
469,445,2 generation,2005,2007,1
470,445,1 generation,1998,2001,1
471,450,2 generation,2006,2009,1
472,450,1 generation,1997,2006,1
480,488,2 generation,2007,2010,1
481,488,1 generation,1994,2000,1
482,490,4 generation,2000,2007,1
483,490,3 generation,1995,2000,1
484,490,2 generation,1990,1995,1
485,490,5 generation [restyling],2007,2019,1
486,491,3 generation,2008,2014,1
487,491,2 generation,1978,1981,1
488,491,1 generation,1970,,1
489,492,3 generation,1970,1971,1
490,492,L-body,1982,1987,1
493,493,3 generation,2005,2007,1
494,496,3 generation,2010,2013,1
495,496,2 generation,2003,2009,1
496,496,1 generation,1998,2004,1
501,499,2 generation,1997,2004,1
502,499,1 generation,1992,1998,1
503,503,2 generation,1999,2019,1
504,503,1 generation,1993,2001,1
505,506,4 generation,2008,2011,1
507,506,3 generation,2001,2005,1
508,506,1 generation,1981,1993,1
509,507,2 generation,1987,1993,1
