2345,1721,8626,Minivan,1
2350,1725,8628,Hatchback,1
2351,1726,8629,Hatchback,1
2354,1729,8632,Coupe,1
2355,1730,8633,Minivan,1
2379,1748,8645,Hatchback,1
2380,1749,8646,Sedan,1
2389,1757,8650,Hatchback,1
2396,1763,7404,targa,1
2404,1769,8657,Sedan,1
2412,1777,8661,Crossover,1
2420,1782,7408,Liftback,1
2423,1785,8666,Pickup,1
2424,1786,9753,Sedan,1
2426,1788,7410,wagon,1
2427,1789,8668,Sedan,1
2436,1797,8673,AU-spec. Sedan 4-doors,1
2442,1801,7411,Minivan,1
2446,1804,8674,Sedan,1
2447,1805,8675,Hatchback,1
2450,1807,8677,Sedan,1
2463,1819,7413,Minivan,1
2472,1827,8695,Coupe,1
2475,1829,8696,Hatchback,1
2479,1832,7414,SUV 5-doors,1
2480,1833,8698,SUV,1
2481,1834,8699,Minivan,1
2482,1835,8700,Minivan,1
2483,1836,8701,Minivan,1
2490,1843,8702,Minivan,1
2492,1845,8703,Hatchback,1
2516,1859,8710,Cabriolet,1
2520,1862,8713,Coupe,1
2521,1863,8714,Cabriolet,1
2522,1864,8715,Cabriolet,1
2523,1865,7417,Cabriolet,1
2525,1867,8717,Cabriolet,1
2570,1894,7418,Coupe,1
2573,1896,7419,Coupe,1
2575,1898,7421,Coupe,1
2585,1906,6557,Cross hatchback 5-doors,1
2591,1910,7423,Hatchback 5-doors,1
2596,1914,8738,Hatchback 3-doors,1
2598,1916,7424,Sedan,1
2608,1922,8742,Minivan,1
2622,1932,8747,Sedan,1
2637,1940,8753,Sedan,1
2657,1954,8764,Sedan,1
2661,1958,6685,wagon,1
2678,1972,8769,Coupe,1
2680,1974,7435,Pickup,1
2682,1976,7437,SUV,1
2684,1978,8772,Hatchback,1
2701,1992,7440,Sedan,1
2705,1996,7444,Sedan,1
2707,1998,7446,Sedan,1
2712,2002,7450,Sedan 4-doors,1
2840,7,4,Sedan,1
2845,11,11,Crossover,1
2846,13,14,Crossover,1
2847,14,16,Sedan,1
2848,18,18,Sedan,1
2850,19,22,Sedan 4-doors,1
2851,23,5496,Hatchback 5-doors,1
2852,23,5496,Hatchback 3-doors,1
2853,25,5497,Crosswagon wagon 5-doors,1
2854,25,5497,GTA Sedan 4-doors,1
2855,26,5498,Sportwagon wagon,1
2856,26,5498,Sedan,1
2858,29,29,Hatchback,1
2859,29,29,wagon,1
2860,33,5499,Spider cabriolet,1
2861,33,5499,Coupe,1
2868,47,36,Roadster,1
2870,56,5502,SUV,1
2872,59,5503,SUV,1
2873,62,5504,Volante cabriolet,1
2874,62,5504,Vantage Coupe,1
2875,63,43,Volante cabriolet,1
2877,64,6911,Coupe,1
2878,64,5505,Volante cabriolet,1
2880,65,5506,Sedan,1
2881,67,46,S liftback,1
2882,69,48,Volante cabriolet 2-doors,1
2883,69,48,Coupe 2-doors,1
2892,75,2469,Sedan,1
2894,76,245,Sedan,1
2895,76,245,wagon,1
2896,78,54,wagon,1
2897,78,54,Sedan,1
2898,79,247,Sedan,1
2901,82,59,Sportback hatchback 5-doors,1
2902,82,59,Cabriolet,1
2903,82,59,Sedan,1
2904,82,59,Hatchback 3-doors,1
2906,84,62,Sedan,1
2907,84,62,Allroad quattro wagon 5-doors,1
2908,85,68,Sportback liftback,1
2910,85,68,Cabriolet,1
2912,87,251,Sedan,1
2913,87,251,Avant wagon 5-doors,1
2914,89,72,Sedan,1
2915,91,256,Coupe,1
2916,94,258,Crossover,1
2917,97,76,Coupe,1
2919,101,78,Avant wagon 5-doors,1
2920,102,5510,Coupe,1
2921,102,5510,Cabriolet,1
2922,103,81,Avant wagon,1
2923,105,5511,Sportback hatchback 5-doors,1
2924,105,5511,Hatchback 3-doors,1
2925,106,5512,wagon,1
2926,106,9100,Coupe,1
2927,107,86,Sportback hatchback 5-doors,1
2928,107,86,Cabriolet,1
2929,107,86,Sedan,1
2930,107,86,Hatchback 3-doors,1
2931,108,261,Sedan,1
2933,109,89,Coupe,1
2934,109,89,Sportback liftback,1
2935,109,89,Cabriolet,1
2936,110,91,Sedan,1
2937,110,91,Avant wagon,1
2938,112,95,Sedan,1
2939,114,2847,Coupe 2-doors,1
2940,114,100,Roadster 2-doors,1
2944,122,5514,wagon,1
2945,122,5514,Sedan,1
2947,128,106,T Sedan 4-doors,1
2948,129,267,Cabriolet 2-doors,1
2949,130,108,Coupe,1
2952,133,5943,V8 Coupe 2-doors,1
2953,133,5943,Coupe 2-doors,1
2954,136,269,Sedan 4-doors,1
2972,152,135,Crossover,1
2973,153,137,Crossover,1
2974,155,140,Crossover,1
2975,156,145,Sports Activity Coupe crossover,1
2976,158,5517,Coupe,1
2977,158,5517,Roadster,1
2978,159,148,Roadster,1
2988,173,174,Sedan,1
2989,174,176,Sedan,1
